"pmid","seed","c","is_seed"
33998940,21458874,20,TRUE
33998940,31363827,10,TRUE
33998940,20212182,78,TRUE
33998940,29236379,5,TRUE
34009391,32100002,7,TRUE
34009391,28192793,422,TRUE
34009391,32826782,12,TRUE
34009391,22068371,13,TRUE
34009391,25671660,679,TRUE
34009739,19714363,31,TRUE
34009739,30126066,361,TRUE
34009739,22378110,10,TRUE
34009739,22569391,10,TRUE
34009739,28085759,6,TRUE
34015483,23202835,30,TRUE
34015483,29482764,274,TRUE
34015483,20507864,167,TRUE
34015483,24467941,74,TRUE
34015483,29079946,17,TRUE
34016838,22396586,284,TRUE
34016838,25332792,58,TRUE
34016838,30953654,22,TRUE
34016838,28843393,42,TRUE
34016838,29129215,204,TRUE
34027743,22491423,43,TRUE
34027743,29402321,13,TRUE
34027743,24549555,239,TRUE
34027743,28600452,20,TRUE
34027743,28780533,16,TRUE
34030891,24461946,132,TRUE
34030891,29142649,50,TRUE
34030891,32908079,20,TRUE
34030891,31086848,3,TRUE
34030891,29896904,53,TRUE
34056677,32756927,36,TRUE
34056677,29979332,45,TRUE
34056677,31027081,8,TRUE
34056677,29399372,77,TRUE
34056677,26190667,37,TRUE
34056938,31835916,4,TRUE
34056938,27397957,10,TRUE
34056938,27097933,16,TRUE
34056938,23480423,2611,TRUE
34056938,26466527,27,TRUE
34075829,25222899,19,TRUE
34075829,29806527,26,TRUE
34075829,32267496,13,TRUE
34075829,31447117,16,TRUE
34075829,32859297,3,TRUE
34085111,21939879,26,TRUE
34085111,32122389,13,TRUE
34085111,25248649,112,TRUE
34085111,30178724,306,TRUE
34085111,22101112,216,TRUE
34088605,32876778,13,TRUE
34088605,27502222,11,TRUE
34088605,30175612,26,TRUE
34088605,30720341,4,TRUE
34088605,29268905,6,TRUE
34096180,31015047,24,TRUE
34096180,24214140,4,TRUE
34096180,31112610,13,TRUE
34096180,27035578,63,TRUE
34096180,28009414,20,TRUE
34097166,29668974,3,TRUE
34097166,30810748,41,TRUE
34097166,20002692,13,TRUE
34097166,25278708,10,TRUE
34097166,29361101,56,TRUE
34101081,28647006,138,TRUE
34101081,26479859,26,TRUE
34101081,21376657,176,TRUE
34101081,29311619,1970,TRUE
34101081,31330196,64,TRUE
34121362,32721388,45,TRUE
34121362,20658797,120,TRUE
34121362,27586785,140,TRUE
34121362,29705475,15,TRUE
34121362,21310794,1531,TRUE
34126219,32425176,21,TRUE
34126219,27839695,19,TRUE
34126219,26333743,32,TRUE
34126219,25769535,87,TRUE
34126219,27135460,79,TRUE
34127336,28304144,23,TRUE
34127336,29029859,8,TRUE
34127336,28629932,29,TRUE
34127336,21252689,26,TRUE
34127336,26454425,42,TRUE
34131990,32093674,9,TRUE
34131990,23870427,54,TRUE
34131990,28035734,40,TRUE
34131990,28625189,11,TRUE
34131990,28974339,110,TRUE
34138660,23385083,232,TRUE
34138660,31800422,24,TRUE
34138660,25341950,17,TRUE
34138660,32488624,10,TRUE
34138660,24656310,39,TRUE
34139977,31121255,58,TRUE
34139977,23494802,124,TRUE
34139977,22610853,183,TRUE
34139977,24675438,175,TRUE
34139977,29193350,60,TRUE
34144865,31628863,31,TRUE
34144865,30693644,223,TRUE
34144865,29985886,3,TRUE
34144865,24919719,64,TRUE
34144865,26053604,14,TRUE
34145463,31825511,68,TRUE
34145463,28953779,4,TRUE
34145463,29911926,175,TRUE
34145463,32895277,15,TRUE
34145463,25618475,50,TRUE
34147405,28904361,20,TRUE
34147405,30575473,252,TRUE
34147405,33172724,1103,TRUE
34147405,26850969,163,TRUE
34147405,23181451,9,TRUE
34147576,25091546,132,TRUE
34147576,29954384,43,TRUE
34147576,26081132,25,TRUE
34147576,31253494,11,TRUE
34147576,31462531,8538,TRUE
34151652,26549782,220,TRUE
34151652,21572051,19,TRUE
34151652,30225607,8,TRUE
34151652,26583760,26,TRUE
34151652,29716267,11,TRUE
34152659,27558675,53,TRUE
34152659,29104591,135,TRUE
34152659,26702161,19,TRUE
34152659,19963060,72,TRUE
34152659,24835540,63,TRUE
34170617,34170617,1,TRUE
34170617,25554246,12484,TRUE
34170617,30795879,22,TRUE
34170617,29371701,23,TRUE
34170617,20616774,23,TRUE
34171871,25011036,45,TRUE
34171871,25454957,34,TRUE
34171871,27919275,6161,TRUE
34171871,31191383,78,TRUE
34171871,31428270,6,TRUE
34172467,32669322,205,TRUE
34172467,32471884,515,TRUE
34172467,32639570,45,TRUE
34172467,32610364,54,TRUE
34172467,32444415,97,TRUE
34175997,26724459,277,TRUE
34175997,30156037,57,TRUE
34175997,20840569,121,TRUE
34175997,31051507,448,TRUE
34175997,32239478,6,TRUE
34176444,23979968,48,TRUE
34176444,21055705,160,TRUE
34176444,29364027,13,TRUE
34176444,31108366,3,TRUE
34176444,29787473,36,TRUE
34181472,26740956,70,TRUE
34181472,20929932,311,TRUE
34181472,30937318,13,TRUE
34181472,27197888,80,TRUE
34181472,23590886,61,TRUE
34181953,29435329,37,TRUE
34181953,20561873,18,TRUE
34181953,27677861,63,TRUE
34181953,20561881,14,TRUE
34181953,29849456,17,TRUE
34183543,27753787,32,TRUE
34183543,30627272,6,TRUE
34183543,30276091,30,TRUE
34183543,30805287,49,TRUE
34183543,27879573,37,TRUE
34185226,27668333,40,TRUE
34185226,31242926,34,TRUE
34185226,21839614,1566,TRUE
34185226,32962116,9,TRUE
34185226,27145867,27,TRUE
34191399,30575114,24,TRUE
34191399,25819473,13,TRUE
34191399,30482202,20,TRUE
34191399,23869706,60,TRUE
34191399,26547403,36,TRUE
34193026,26748736,19,TRUE
34193026,24796344,29,TRUE
34193026,28954699,10,TRUE
34193026,28471534,17,TRUE
34193026,25536938,26,TRUE
34197647,22092994,222,TRUE
34197647,20334633,2303,TRUE
34197647,21323715,207,TRUE
34197647,30892766,33,TRUE
34197647,20507380,109,TRUE
34213367,28510477,70,TRUE
34213367,28915360,15,TRUE
34213367,26971105,37,TRUE
34213367,28968418,4,TRUE
34213367,26535256,27,TRUE
34213745,27719865,8,TRUE
34213745,26723973,18,TRUE
34213745,24182634,41,TRUE
34213745,26166603,12,TRUE
34213745,20430706,25,TRUE
34214014,28805160,17,TRUE
34214014,22632365,81,TRUE
34214014,24668239,18,TRUE
34214014,30182359,23,TRUE
34214014,33574798,13,TRUE
34216824,31266461,26,TRUE
34216824,30826278,21,TRUE
34216824,27286569,19,TRUE
34216824,30517669,21,TRUE
34216824,30531816,101,TRUE
34224687,29426663,27,TRUE
34224687,20096390,35,TRUE
34224687,29789240,15,TRUE
34224687,21357766,59,TRUE
34224687,30948222,21,TRUE
